"model","reference_date","report_date",".group","max_confirm","confirm","holiday","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-02-16,2022-02-25,1,39232,39232,FALSE,1,9,0.000713703099510604,39232,39232,0,0,39232,39232,39232,39232,39232,39232,39232,39232,39232,39232,39232,39232,39232,NA,NA,NA,2022-02-25
"Reference: Fixed, Report: Fixed",2022-02-17,2022-02-25,1,33987,33987,FALSE,1,8,0.000588460293641687,33993.318,33987,17.8179893979805,0,33987,33987,33987,33987,33987,33987,33987,33988,33989,33993,34005,34020,34038,1.00041580494943,3872.09888884372,3899.56424703871,2022-02-25
"Reference: Fixed, Report: Fixed",2022-02-18,2022-02-25,1,24848,24848,FALSE,1,7,0.00152929813264649,24875.77175,24854,56.9795342098125,8.8956,24848,24848,24848,24848,24849,24851,24854,24859.4,24869,24886,24930,24977,25032,1.00098200943548,3815.95499544559,3786.16971235562,2022-02-25
"Reference: Fixed, Report: Fixed",2022-02-19,2022-02-25,1,26324,26324,FALSE,1,6,0.00144354961252089,26437.2765,26354,259.719591317787,41.5128,26324,26324,26325,26328,26333,26341,26354,26374.4,26405.3,26466,26615,26823.05,27077.175,1.00162669392808,3995.73667901205,3655.55430035913,2022-02-25
"Reference: Fixed, Report: Fixed",2022-02-20,2022-02-25,1,28334,28334,FALSE,1,5,0.000352932872167714,28760.729,28454,1003.88566513631,163.086,28334,28336,28340,28354,28375,28406,28454,28530,28642.3,28864,29381.4,30191.2,31044.175,1.00114207738628,3793.4635088946,3751.2019988883,2022-02-25
"Reference: Fixed, Report: Fixed",2022-02-21,2022-02-25,1,32843,32843,FALSE,1,4,0.00995645951953232,34463.92975,33344,3312.85520008181,671.6178,32847,32854,32870,32925,33008,33139,33344,33629,34111.5,35052.2,37107.8,39886.5,42734.325,1.00029011130331,3630.87175383129,3855.60229305733,2022-02-25
"Reference: Fixed, Report: Fixed",2022-02-22,2022-02-25,1,27505,27505,FALSE,1,3,0.0292310489002,33393.62975,29239,12166.0530494843,2304.7017,27528,27556.95,27617,27793,28092,28536.6,29239,30200,31966,35095.8,42516.2,53233.1,66839.3,1.00008840010818,4341.49506957582,3743.5310073922,2022-02-25
"Reference: Fixed, Report: Fixed",2022-02-23,2022-02-25,1,24560,24560,FALSE,1,2,0.407043973941368,41673.43975,29968.5,34544.2468540284,7160.2167,24655.975,24747.95,24956,25576.4,26516.8,27837.6,29968.5,33077.8,38547.5,47240.2,68417.8,93141.3499999999,128544.9,0.999954824485708,3720.16214441097,3832.64704442414,2022-02-25
"Reference: Fixed, Report: Fixed",2022-02-24,2022-02-25,1,11855,11855,FALSE,1,1,1,47319.169,25711.5,68591.9008645809,17574.7404,12089.85,12389.95,13094.7,14593.8,17085.8,20670,25711.5,32622.4,42566.6,62957.8,103226,156626.15,205817.175,1.00002947101164,4044.84796859404,3868.2073819842,2022-02-25
"Reference: Fixed, Report: Fixed",2022-02-25,2022-02-25,1,0,0,FALSE,NA,0,NA,40986.827,18044.5,74808.4390909534,21703.0401,486.825,921.95,1900.3,4655.6,8059.9,12292.6,18044.5,25814.6,38195,58792.2000000001,100025.9,159962.7,215245.7,1.00104253487515,3718.09072531977,3693.43500742261,2022-02-25
"Reference: Fixed, Report: Day of Week",2022-02-16,2022-02-25,1,39232,39232,FALSE,1,9,0.000713703099510604,39232,39232,0,0,39232,39232,39232,39232,39232,39232,39232,39232,39232,39232,39232,39232,39232,NA,NA,NA,2022-02-25
"Reference: Fixed, Report: Day of Week",2022-02-17,2022-02-25,1,33987,33987,FALSE,1,8,0.000588460293641687,34005.79625,33995,27.5505352749449,11.8608,33987,33987,33987,33988,33989,33992,33995,34000,34007,34017,34038,34060,34087,1.00947859127022,2018.1040421499,3621.55720302531,2022-02-25
"Reference: Fixed, Report: Day of Week",2022-02-18,2022-02-25,1,24848,24848,FALSE,1,7,0.00152929813264649,24861.92925,24854,21.037261847351,8.8956,24848,24848,24848,24849,24850,24852,24854,24858,24862,24870,24886,24902,24923,1.00977502933886,2097.77662981828,3151.88837910502,2022-02-25
"Reference: Fixed, Report: Day of Week",2022-02-19,2022-02-25,1,26324,26324,FALSE,1,6,0.00144354961252089,26331.323,26327,11.0165335747231,4.4478,26324,26324,26324,26324,26325,26326,26327,26329,26332,26336,26344,26353,26363,1.00518861465932,3340.97228243819,3236.28510301665,2022-02-25
"Reference: Fixed, Report: Day of Week",2022-02-20,2022-02-25,1,28334,28334,FALSE,1,5,0.000352932872167714,28353.22775,28345,24.8242107688759,11.8608,28334,28334,28335,28337,28339,28341,28345,28349,28354.3,28364,28383,28402,28420,1.03415325803639,92.6940216604925,2170.77928445867,2022-02-25
"Reference: Fixed, Report: Day of Week",2022-02-21,2022-02-25,1,32843,32843,FALSE,1,4,0.00995645951953232,32967.65275,32913,160.916836361189,72.6474,32847,32851,32856,32867,32880,32894,32913,32938,32974,33029,33142.1,33270.05,33424.2,1.03350981204657,94.0659755546257,1993.62741960849,2022-02-25
"Reference: Fixed, Report: Day of Week",2022-02-22,2022-02-25,1,27505,27505,FALSE,1,3,0.0292310489002,27980.144,27760.5,624.366946422491,266.1267,27525.975,27537,27558,27594,27636.7,27689,27760.5,27863,27991,28215.2,28676,29165.1,29671.475,1.02252067565878,174.426991503703,3078.44644670578,2022-02-25
"Reference: Fixed, Report: Day of Week",2022-02-23,2022-02-25,1,24560,24560,FALSE,1,2,0.407043973941368,26594.63625,25623,2700.85006835049,1171.9953,24632,24667,24744,24889.8,25061,25301.6,25623,26054,26703,27658.2,29617.1,31729.4,34256.575,1.00899587876131,2214.74901293541,2667.88712149717,2022-02-25
"Reference: Fixed, Report: Day of Week",2022-02-24,2022-02-25,1,11855,11855,FALSE,1,1,1,22523.5595,17452.5,13613.2235504424,6387.7821,12189.95,12377,12679.8,13470.4,14417.4,15695,17452.5,19824.4,23240.5,28749.8,39147.3,50529.9,61297.975,1.01176572622977,2025.97063551392,3542.6493056149,2022-02-25
"Reference: Fixed, Report: Day of Week",2022-02-25,2022-02-25,1,0,0,FALSE,NA,0,NA,22806.3145,10455,32280.251012197,12486.4572,569.95,882.8,1556.7,2992,4801.2,7307.8,10455,16245,23770,35872.8,57600.2,82258.9999999999,114982.45,1.03385702705327,89.7390131389274,356.433157580354,2022-02-25
