"model","reference_date","report_date",".group","max_confirm","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-02-20,2022-03-01,1,28363,28363,1,9,0.000317314811550259,28363,28363,0,0,28363,28363,28363,28363,28363,28363,28363,28363,28363,28363,28363,28363,28363,NA,NA,NA,2022-03-01
"Reference: Fixed, Report: Fixed",2022-02-21,2022-03-01,1,32953,32953,1,8,0.00106211877522532,32959.311,32953,18.9775213233682,0,32953,32953,32953,32953,32953,32953,32953,32954,32955,32959,32970.1,32985.05,33005,0.999761319838962,4023.39110241371,3988.64748369264,2022-03-01
"Reference: Fixed, Report: Fixed",2022-02-22,2022-03-01,1,27822,27822,1,7,0.0023003378621235,27850.6565,27827,67.7127850783422,7.413,27822,27822,27822,27822,27823,27824,27827,27832,27841,27860,27898,27952,28016.1,1.00028927668209,3866.72725916227,3479.80117567247,2022-03-01
"Reference: Fixed, Report: Fixed",2022-02-23,2022-03-01,1,25762,25762,1,6,0.00368760189426287,25873.21575,25789,250.211239991516,38.5476,25762,25762,25762,25765,25770,25777,25789,25808,25841,25900.2,26057.1,26268.05,26508.125,0.999748951238086,3931.82828308325,3889.44540691174,2022-03-01
"Reference: Fixed, Report: Fixed",2022-02-24,2022-03-01,1,21609,21609,1,5,0.00453514739229025,22033.76575,21714.5,1086.50031896577,147.5187,21609,21610,21613,21623,21641.7,21667,21714.5,21785.4,21900,22117,22671.1,23347.1,24286.65,1.00068242507849,3982.32315520007,4066.46403630459,2022-03-01
"Reference: Fixed, Report: Fixed",2022-02-25,2022-03-01,1,19190,19190,1,4,0.0125065138092757,20814.206,19603.5,3960.55800190903,564.1293,19193,19198,19213,19254,19325,19431,19603.5,19860.4,20296.3,21105.6,23244.4,26347.5,30143.075,1.0002052037407,4021.47438310129,3977.11582270654,2022-03-01
"Reference: Fixed, Report: Fixed",2022-02-26,2022-03-01,1,17088,17088,1,3,0.0295529026217228,22480.745,18584.5,11414.0446851015,2047.4706,17104,17122,17170,17323.8,17540.7,17937,18584.5,19533.6,21180.2,24323,31443,40235.4,51700.325,1.00006225371169,4034.28176848947,3917.3537698883,2022-03-01
"Reference: Fixed, Report: Fixed",2022-02-27,2022-03-01,1,21309,21309,1,2,0.373644938758271,36678.617,25739.5,31487.5879218954,5953.3803,21372.975,21435.95,21587.8,22008.8,22783.4,23972.4,25739.5,28533.6,33276.4,41443.6,61955.4,89058.45,120646.45,1.0007426078265,3885.85295034788,3814.39341382715,2022-03-01
"Reference: Fixed, Report: Fixed",2022-02-28,2022-03-01,1,17376,17376,1,1,1,48829.3765,28516,56458.7690033319,14699.979,17548.975,17709.95,18148.5,19482.6,21461.7,24180.4,28516,34733,44337.4,61776.6,99496.3,151232.95,208970.175,1.00022799133943,3760.45937540155,3891.23463714806,2022-03-01
"Reference: Fixed, Report: Fixed",2022-03-01,2022-03-01,1,0,0,NA,0,NA,37315.717,15663,81253.8113692608,19258.2327,315.9,695.85,1504.7,3540.6,6369.6,9984.2,15663,22660.4,33316.9,53252,89383.1,133893.7,198100.375,1.0001246700882,3937.90362208654,3933.22474376252,2022-03-01
"Reference: Fixed, Report: Day of Week",2022-02-20,2022-03-01,1,28363,28363,1,9,0.000317314811550259,28363,28363,0,0,28363,28363,28363,28363,28363,28363,28363,28363,28363,28363,28363,28363,28363,NA,NA,NA,2022-03-01
"Reference: Fixed, Report: Day of Week",2022-02-21,2022-03-01,1,32953,32953,1,8,0.00106211877522532,32962.526,32957,14.7947303122177,5.9304,32953,32953,32953,32953,32954,32955,32957,32959,32963,32968,32979,32991,33006.025,1.02087360522894,213.095774279573,2919.7754966574,2022-03-01
"Reference: Fixed, Report: Day of Week",2022-02-22,2022-03-01,1,27822,27822,1,7,0.0023003378621235,27851.941,27841,36.268469356555,20.7564,27822,27823,27824,27827,27831,27835,27841,27847,27856,27869,27891,27918,27949,1.03299756545712,114.241900326273,3042.97551374652,2022-03-01
"Reference: Fixed, Report: Day of Week",2022-02-23,2022-03-01,1,25762,25762,1,6,0.00368760189426287,25855.33025,25819.5,117.613245018529,55.5975,25765,25768,25773,25783,25793,25804,25819.5,25838,25862,25903,25973,26053,26152,1.08137796453121,33.8218068168192,2494.69797825143,2022-03-01
"Reference: Fixed, Report: Day of Week",2022-02-24,2022-03-01,1,21609,21609,1,5,0.00453514739229025,21888.06725,21767,369.825588580522,158.6382,21621,21628,21640,21666,21696,21727,21767,21818,21895.3,22023,22270.1,22545.2,22868.075,1.09934914472618,25.9707204867175,3001.13817920798,2022-03-01
"Reference: Fixed, Report: Day of Week",2022-02-25,2022-03-01,1,19190,19190,1,4,0.0125065138092757,19566.0375,19395,602.644069963785,200.151,19207.975,19217,19236,19265,19301,19343,19395,19461.4,19552,19702,19992.3,20491,20995.375,1.05230433532131,55.5999776052036,227.547687864746,2022-03-01
"Reference: Fixed, Report: Day of Week",2022-02-26,2022-03-01,1,17088,17088,1,3,0.0295529026217228,17791.1355,17398,1428.3219649465,311.346,17113,17126,17154.9,17201,17252,17316,17398,17501,17654,17953,18660.6,19685.1,21113.675,1.06915354843323,37.3818346445437,113.29306638552,2022-03-01
"Reference: Fixed, Report: Day of Week",2022-02-27,2022-03-01,1,21309,21309,1,2,0.373644938758271,25182.053,23207,6515.67743648387,1924.4148,21472,21555,21696.9,22009,22340,22725.6,23207,23900.4,24830.4,26428.8,30393.1,35066.8,40835.05,1.0537808390033,51.4292654749564,132.321512679857,2022-03-01
