"model","reference_date","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","mad","q2.5","q5","q10","q20","q30","q40","q50","q60","q70","q80","q90","q95","q97.5","rhat","ess_bulk","ess_tail","nowcast_date"
"Reference: Fixed, Report: Fixed",2022-05-08,2022-05-17,1,7632,7632,9,1,0.000524109014675052,7632,7632,0,0,7632,7632,7632,7632,7632,7632,7632,7632,7632,7632,7632,7632,7632,NA,NA,NA,2022-05-17
"Reference: Fixed, Report: Fixed",2022-05-09,2022-05-17,1,8831,8831,8,1,0.000792662212659948,8834.734,8831,15.8519679044345,0,8831,8831,8831,8831,8831,8831,8831,8831,8832,8834,8840,8850,8863.025,0.999392358782516,1970.69700051712,1796.11608039163,2022-05-17
"Reference: Fixed, Report: Fixed",2022-05-10,2022-05-17,1,8059,8059,7,1,0.00322620672540017,8075.455,8061,43.4886376632207,2.9652,8059,8059,8059,8059,8059,8060,8061,8064,8069,8078,8102,8134,8184.05,1.00025683449842,1724.9294194514,1795.92480647822,2022-05-17
"Reference: Fixed, Report: Fixed",2022-05-11,2022-05-17,1,7161,7161,6,1,0.00614439324116743,7224.5725,7174,150.058190292923,19.2738,7161,7161,7161,7162,7163,7167,7174,7183,7202,7238,7333,7470.05,7625.725,0.999885540937486,1952.3241013721,1964.57818407755,2022-05-17
"Reference: Fixed, Report: Fixed",2022-05-12,2022-05-17,1,6287,6287,5,1,0.00874821059328774,6497.8485,6335,464.309284964023,69.6822,6287,6287,6288,6292,6300,6313,6335,6373.8,6436,6566,6847.5,7156.05,7809.09999999999,1.00052829187751,1894.72237651039,1967.87661895887,2022-05-17
"Reference: Fixed, Report: Fixed",2022-05-13,2022-05-17,1,5572,5572,4,1,0.0480976310122039,6307.5415,5730.5,1618.31623640074,221.6487,5572,5574,5578,5592,5619,5667,5730.5,5834.2,6053.6,6480.6,7640.9,8969.1,10771.275,1.00074866436008,1897.98769011851,1808.68117132081,2022-05-17
"Reference: Fixed, Report: Fixed",2022-05-14,2022-05-17,1,4776,4776,3,1,0.0973618090452261,7422.316,5475.5,7277.71594291897,963.69,4780,4787.95,4809,4866.8,4978,5158.2,5475.5,5909,6573.3,7810.8,10846.8,16307.55,22112.425,1.00072871264786,1702.43453049942,1754.46313785542,2022-05-17
"Reference: Fixed, Report: Fixed",2022-05-15,2022-05-17,1,6225,6225,2,1,0.347309236947791,13307.502,7673.5,18031.2973512746,1999.2861,6236,6251,6298.9,6462.8,6688.7,7073.6,7673.5,8668.8,10608.7,14548,25218.9,36915.15,53725.225,0.999788185542452,2027.61068438192,1895.20963400881,2022-05-17
"Reference: Fixed, Report: Fixed",2022-05-16,2022-05-17,1,5020,5020,1,1,1,17586.1235,8959,25207.8222802825,5305.4841,5063.975,5109.95,5253,5665.6,6380.8,7395,8959,11407,15459.2,21811.4,36828.6,58662,81165.2249999998,1.0003105024856,2162.29055849844,1891.52802450203,2022-05-17
"Reference: Fixed, Report: Fixed",2022-05-17,2022-05-17,1,0,0,0,NA,NA,14370.5365,4818,32736.4764941387,6266.2089,73.975,141.8,373.8,966.4,1782.8,2985.2,4818,7453.4,12123.9,20009.4,34369.7,53590.4,81991.325,0.999139403267052,1840.67266976027,1791.34913911966,2022-05-17
"Reference: Fixed, Report: Day of Week",2022-05-08,2022-05-17,1,7632,7632,9,1,0.000524109014675052,7632,7632,0,0,7632,7632,7632,7632,7632,7632,7632,7632,7632,7632,7632,7632,7632,NA,NA,NA,2022-05-17
"Reference: Fixed, Report: Day of Week",2022-05-09,2022-05-17,1,8831,8831,8,1,0.000792662212659948,8835.327,8832,9.62155695192257,1.4826,8831,8831,8831,8831,8831,8831,8832,8833,8834,8837,8844,8852.05,8861,1.00053837305246,1879.41110765662,1782.65457496801,2022-05-17
"Reference: Fixed, Report: Day of Week",2022-05-10,2022-05-17,1,8059,8059,7,1,0.00322620672540017,8088.871,8068,61.3824263134821,13.3434,8059,8059,8059,8060,8062,8065,8068,8074,8083.3,8102,8134,8187.05,8233.025,0.999969112638612,1988.40560276868,1846.48648875112,2022-05-17
"Reference: Fixed, Report: Day of Week",2022-05-11,2022-05-17,1,7161,7161,6,1,0.00614439324116743,7300.8805,7209,254.667235662953,60.7866,7161,7163,7165,7172,7181,7191,7209,7235,7275,7361,7542.1,7747.05,7983.45,1.00000015092369,2027.22650804189,1918.77293177172,2022-05-17
"Reference: Fixed, Report: Day of Week",2022-05-12,2022-05-17,1,6287,6287,5,1,0.00874821059328774,6657.419,6411,818.404254755008,155.673,6289,6292,6298,6314,6334,6365,6411,6470,6558,6741.2,7195.5,7797.15,8686.25,1.00206067790288,1800.25917277924,1772.72150049481,2022-05-17
"Reference: Fixed, Report: Day of Week",2022-05-13,2022-05-17,1,5572,5572,4,1,0.0480976310122039,6149.978,5751,1081.73122296408,231.2856,5575,5578,5588,5613,5646,5690,5751,5858,6033.3,6367.4,7144.2,7977.2,9072.44999999999,1.00053596185594,1953.24436978954,1897.51071728946,2022-05-17
"Reference: Fixed, Report: Day of Week",2022-05-14,2022-05-17,1,4776,4776,3,1,0.0973618090452261,5998.2005,5175,2278.13148036294,511.497,4784,4794,4811,4864.8,4932.7,5029.6,5175,5390,5759.6,6397,8024.5,10259.05,12377.475,0.999759848384775,2097.46122684213,2006.88606675906,2022-05-17
"Reference: Fixed, Report: Day of Week",2022-05-15,2022-05-17,1,6225,6225,2,1,0.347309236947791,9698.975,7559,5999.68125861512,1682.751,6254,6285,6347.9,6502.2,6753.7,7093,7559,8273.6,9332.6,11209,15064.5,20280.65,26655.7,1.00274214384398,1673.36611577637,1952.28272470019,2022-05-17
"Reference: Fixed, Report: Day of Week",2022-05-16,2022-05-17,1,5020,5020,1,1,1,13729.2925,9166,13108.0419246924,5002.2924,5172.925,5264.9,5518.9,6003.8,6790.4,7808.2,9166,10885.2,13896.8,18070.4,26818.3,37699.55,50541.9,1.00003073509811,2147.88816453564,2171.33970722274,2022-05-17
