"reference_date","holiday","model","report_date",".group","max_confirm","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","rhat","ess_bulk","ess_tail","nowcast_date","range","interval_score","dispersion","underprediction","overprediction","coverage","coverage_deviation","bias","quantile","ae_median","quantile_coverage"
2022-02-16,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-22,1,39100,39100,1,6,0.00243,39200,39200,149,1.02,2850,2610,2022-02-22,0,37,0,37,0,0,0,-0.4,0.5,37,FALSE
2022-02-16,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-22,1,39100,39100,1,6,0.00243,39200,39200,149,1.02,2850,2610,2022-02-22,20,32.6,13.6,19,0,0,-0.2,-0.4,0.4,37,FALSE
2022-02-16,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-22,1,39100,39100,1,6,0.00243,39200,39200,149,1.02,2850,2610,2022-02-22,20,32.6,13.6,19,0,0,-0.2,-0.4,0.6,37,FALSE
2022-02-16,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-22,1,39100,39100,1,6,0.00243,39200,39200,149,1.02,2850,2610,2022-02-22,40,21.3,21.3,0,0,1,0.6,-0.4,0.3,37,FALSE
2022-02-16,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-22,1,39100,39100,1,6,0.00243,39200,39200,149,1.02,2850,2610,2022-02-22,40,21.3,21.3,0,0,1,0.6,-0.4,0.7,37,TRUE
2022-02-16,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-22,1,39100,39100,1,6,0.00243,39200,39200,149,1.02,2850,2610,2022-02-22,60,25.2,25.2,0,0,1,0.4,-0.4,0.2,37,FALSE
2022-02-16,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-22,1,39100,39100,1,6,0.00243,39200,39200,149,1.02,2850,2610,2022-02-22,60,25.2,25.2,0,0,1,0.4,-0.4,0.8,37,TRUE
2022-02-16,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-22,1,39100,39100,1,6,0.00243,39200,39200,149,1.02,2850,2610,2022-02-22,80,23.1,23.1,0,0,1,0.2,-0.4,0.1,37,FALSE
2022-02-16,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-22,1,39100,39100,1,6,0.00243,39200,39200,149,1.02,2850,2610,2022-02-22,80,23.1,23.1,0,0,1,0.2,-0.4,0.9,37,TRUE
2022-02-16,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-22,1,39100,39100,1,6,0.00243,39200,39200,149,1.02,2850,2610,2022-02-22,90,17.4,17.4,0,0,1,0.1,-0.4,0.05,37,FALSE
2022-02-16,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-22,1,39100,39100,1,6,0.00243,39200,39200,149,1.02,2850,2610,2022-02-22,90,17.4,17.4,0,0,1,0.1,-0.4,0.95,37,TRUE
2022-02-16,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-22,1,39100,39100,1,6,0.00243,39200,39200,149,1.02,2850,2610,2022-02-22,95,12.1,12.1,0,0,1,0.05,-0.4,0.025,37,FALSE
2022-02-16,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-22,1,39100,39100,1,6,0.00243,39200,39200,149,1.02,2850,2610,2022-02-22,95,12.1,12.1,0,0,1,0.05,-0.4,0.975,37,TRUE
2022-02-16,FALSE,"Reference: Fixed, Report: Fixed",2022-02-22,1,39100,39100,1,6,0.00243,39300,39200,293,1,3700,3710,2022-02-22,0,67,0,67,0,0,0,-0.6,0.5,67,FALSE
2022-02-16,FALSE,"Reference: Fixed, Report: Fixed",2022-02-22,1,39100,39100,1,6,0.00243,39300,39200,293,1,3700,3710,2022-02-22,20,59.8,12.8,47,0,0,-0.2,-0.6,0.4,67,FALSE
2022-02-16,FALSE,"Reference: Fixed, Report: Fixed",2022-02-22,1,39100,39100,1,6,0.00243,39300,39200,293,1,3700,3710,2022-02-22,20,59.8,12.8,47,0,0,-0.2,-0.6,0.6,67,FALSE
2022-02-16,FALSE,"Reference: Fixed, Report: Fixed",2022-02-22,1,39100,39100,1,6,0.00243,39300,39200,293,1,3700,3710,2022-02-22,40,36.6,21.6,15,0,0,-0.4,-0.6,0.3,67,FALSE
2022-02-16,FALSE,"Reference: Fixed, Report: Fixed",2022-02-22,1,39100,39100,1,6,0.00243,39300,39200,293,1,3700,3710,2022-02-22,40,36.6,21.6,15,0,0,-0.4,-0.6,0.7,67,FALSE
2022-02-16,FALSE,"Reference: Fixed, Report: Fixed",2022-02-22,1,39100,39100,1,6,0.00243,39300,39200,293,1,3700,3710,2022-02-22,60,28.6,28.6,0,0,1,0.4,-0.6,0.2,67,FALSE
2022-02-16,FALSE,"Reference: Fixed, Report: Fixed",2022-02-22,1,39100,39100,1,6,0.00243,39300,39200,293,1,3700,3710,2022-02-22,60,28.6,28.6,0,0,1,0.4,-0.6,0.8,67,TRUE
2022-02-16,FALSE,"Reference: Fixed, Report: Fixed",2022-02-22,1,39100,39100,1,6,0.00243,39300,39200,293,1,3700,3710,2022-02-22,80,30.1,30.1,0,0,1,0.2,-0.6,0.1,67,FALSE
2022-02-16,FALSE,"Reference: Fixed, Report: Fixed",2022-02-22,1,39100,39100,1,6,0.00243,39300,39200,293,1,3700,3710,2022-02-22,80,30.1,30.1,0,0,1,0.2,-0.6,0.9,67,TRUE
2022-02-16,FALSE,"Reference: Fixed, Report: Fixed",2022-02-22,1,39100,39100,1,6,0.00243,39300,39200,293,1,3700,3710,2022-02-22,90,26.9,26.9,0,0,1,0.1,-0.6,0.05,67,FALSE
2022-02-16,FALSE,"Reference: Fixed, Report: Fixed",2022-02-22,1,39100,39100,1,6,0.00243,39300,39200,293,1,3700,3710,2022-02-22,90,26.9,26.9,0,0,1,0.1,-0.6,0.95,67,TRUE
2022-02-16,FALSE,"Reference: Fixed, Report: Fixed",2022-02-22,1,39100,39100,1,6,0.00243,39300,39200,293,1,3700,3710,2022-02-22,95,20.7,20.7,0,0,1,0.05,-0.6,0.025,67,FALSE
2022-02-16,FALSE,"Reference: Fixed, Report: Fixed",2022-02-22,1,39100,39100,1,6,0.00243,39300,39200,293,1,3700,3710,2022-02-22,95,20.7,20.7,0,0,1,0.05,-0.6,0.975,67,TRUE
2022-02-17,FALSE,"Reference: Fixed, Report: Day of Week",2022-02-22,1,33800,33800,1,5,0.0057,34200,34000,573,1.03,474,2690,2022-02-22,0,33,0,0,33,0,0,0.2,0.5,33,TRUE
