"reference_date","model","report_date",".group","max_confirm","confirm","cum_prop_reported","delay","prop_reported","mean","median","sd","rhat","ess_bulk","ess_tail","nowcast_date","range","interval_score","dispersion","underprediction","overprediction","coverage","coverage_deviation","bias","quantile","ae_median","quantile_coverage"
2022-02-23,"Reference: Fixed, Report: Day of Week",2022-03-01,1,25800,25800,1,6,0.00369,25900,25800,118,1.08,33.8,2490,2022-03-01,0,4.5,0,4.5,0,0,0,-0.2,0.5,4.5,FALSE
2022-02-23,"Reference: Fixed, Report: Day of Week",2022-03-01,1,25800,25800,1,6,0.00369,25900,25800,118,1.08,33.8,2490,2022-03-01,20,13.6,13.6,0,0,1,0.8,-0.2,0.4,4.5,FALSE
2022-02-23,"Reference: Fixed, Report: Day of Week",2022-03-01,1,25800,25800,1,6,0.00369,25900,25800,118,1.08,33.8,2490,2022-03-01,20,13.6,13.6,0,0,1,0.8,-0.2,0.6,4.5,TRUE
2022-02-23,"Reference: Fixed, Report: Day of Week",2022-03-01,1,25800,25800,1,6,0.00369,25900,25800,118,1.08,33.8,2490,2022-03-01,40,20.7,20.7,0,0,1,0.6,-0.2,0.3,4.5,FALSE
2022-02-23,"Reference: Fixed, Report: Day of Week",2022-03-01,1,25800,25800,1,6,0.00369,25900,25800,118,1.08,33.8,2490,2022-03-01,40,20.7,20.7,0,0,1,0.6,-0.2,0.7,4.5,TRUE
2022-02-23,"Reference: Fixed, Report: Day of Week",2022-03-01,1,25800,25800,1,6,0.00369,25900,25800,118,1.08,33.8,2490,2022-03-01,60,24,24,0,0,1,0.4,-0.2,0.2,4.5,FALSE
2022-02-23,"Reference: Fixed, Report: Day of Week",2022-03-01,1,25800,25800,1,6,0.00369,25900,25800,118,1.08,33.8,2490,2022-03-01,60,24,24,0,0,1,0.4,-0.2,0.8,4.5,TRUE
2022-02-23,"Reference: Fixed, Report: Day of Week",2022-03-01,1,25800,25800,1,6,0.00369,25900,25800,118,1.08,33.8,2490,2022-03-01,80,20,20,0,0,1,0.2,-0.2,0.1,4.5,FALSE
2022-02-23,"Reference: Fixed, Report: Day of Week",2022-03-01,1,25800,25800,1,6,0.00369,25900,25800,118,1.08,33.8,2490,2022-03-01,80,20,20,0,0,1,0.2,-0.2,0.9,4.5,TRUE
2022-02-23,"Reference: Fixed, Report: Day of Week",2022-03-01,1,25800,25800,1,6,0.00369,25900,25800,118,1.08,33.8,2490,2022-03-01,90,14.2,14.2,0,0,1,0.1,-0.2,0.05,4.5,FALSE
2022-02-23,"Reference: Fixed, Report: Day of Week",2022-03-01,1,25800,25800,1,6,0.00369,25900,25800,118,1.08,33.8,2490,2022-03-01,90,14.2,14.2,0,0,1,0.1,-0.2,0.95,4.5,TRUE
