"reference_date","model","report_date",".group","max_confirm","confirm","delay","cum_prop_reported","prop_reported","mean","median","sd","rhat","ess_bulk","ess_tail","nowcast_date","range","interval_score","dispersion","underprediction","overprediction","coverage","coverage_deviation","bias","quantile","ae_median","quantile_coverage"
2022-03-08,"Reference: Fixed, Report: Day of Week",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,89.3,1,1990,1720,2022-03-14,0,36,0,36,0,0,0,-0.4,0.5,36,FALSE
2022-03-08,"Reference: Fixed, Report: Day of Week",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,89.3,1,1990,1720,2022-03-14,20,31.8,12.8,19,0,0,-0.2,-0.4,0.4,36,FALSE
2022-03-08,"Reference: Fixed, Report: Day of Week",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,89.3,1,1990,1720,2022-03-14,20,31.8,12.8,19,0,0,-0.2,-0.4,0.6,36,FALSE
2022-03-08,"Reference: Fixed, Report: Day of Week",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,89.3,1,1990,1720,2022-03-14,40,21,21,0,0,1,0.6,-0.4,0.3,36,FALSE
2022-03-08,"Reference: Fixed, Report: Day of Week",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,89.3,1,1990,1720,2022-03-14,40,21,21,0,0,1,0.6,-0.4,0.7,36,TRUE
2022-03-08,"Reference: Fixed, Report: Day of Week",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,89.3,1,1990,1720,2022-03-14,60,24,24,0,0,1,0.4,-0.4,0.2,36,FALSE
2022-03-08,"Reference: Fixed, Report: Day of Week",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,89.3,1,1990,1720,2022-03-14,60,24,24,0,0,1,0.4,-0.4,0.8,36,TRUE
2022-03-08,"Reference: Fixed, Report: Day of Week",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,89.3,1,1990,1720,2022-03-14,80,19.2,19.2,0,0,1,0.2,-0.4,0.1,36,FALSE
2022-03-08,"Reference: Fixed, Report: Day of Week",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,89.3,1,1990,1720,2022-03-14,80,19.2,19.2,0,0,1,0.2,-0.4,0.9,36,TRUE
2022-03-08,"Reference: Fixed, Report: Day of Week",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,89.3,1,1990,1720,2022-03-14,90,13.2,13.2,0,0,1,0.1,-0.4,0.05,36,FALSE
2022-03-08,"Reference: Fixed, Report: Day of Week",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,89.3,1,1990,1720,2022-03-14,90,13.2,13.2,0,0,1,0.1,-0.4,0.95,36,TRUE
2022-03-08,"Reference: Fixed, Report: Day of Week",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,89.3,1,1990,1720,2022-03-14,95,8.35,8.35,0,0,1,0.05,-0.4,0.025,36,FALSE
2022-03-08,"Reference: Fixed, Report: Day of Week",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,89.3,1,1990,1720,2022-03-14,95,8.35,8.35,0,0,1,0.05,-0.4,0.975,36,TRUE
2022-03-08,"Reference: Fixed, Report: Fixed",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,300,1,2030,2020,2022-03-14,0,77,0,77,0,0,0,-0.6,0.5,77,FALSE
2022-03-08,"Reference: Fixed, Report: Fixed",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,300,1,2030,2020,2022-03-14,20,68.2,16.6,51.6,0,0,-0.2,-0.6,0.4,77,FALSE
2022-03-08,"Reference: Fixed, Report: Fixed",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,300,1,2030,2020,2022-03-14,20,68.2,16.6,51.6,0,0,-0.2,-0.6,0.6,77,FALSE
2022-03-08,"Reference: Fixed, Report: Fixed",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,300,1,2030,2020,2022-03-14,40,38.3,27.3,11,0,0,-0.4,-0.6,0.3,77,FALSE
2022-03-08,"Reference: Fixed, Report: Fixed",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,300,1,2030,2020,2022-03-14,40,38.3,27.3,11,0,0,-0.4,-0.6,0.7,77,FALSE
2022-03-08,"Reference: Fixed, Report: Fixed",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,300,1,2030,2020,2022-03-14,60,35.2,35.2,0,0,1,0.4,-0.6,0.2,77,FALSE
2022-03-08,"Reference: Fixed, Report: Fixed",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,300,1,2030,2020,2022-03-14,60,35.2,35.2,0,0,1,0.4,-0.6,0.8,77,TRUE
2022-03-08,"Reference: Fixed, Report: Fixed",2022-03-14,1,52100,52100,6,1,0.0101,52200,52100,300,1,2030,2020,2022-03-14,80,32.9,32.9,0,0,1,0.2,-0.6,0.1,77,FALSE
